k_index, l_index, p_index, cz_index, key
1, 366, 57, 6, D minor
2, 388, 58, 7, G major
3, 378, 59, 8, A minor
4, 390, 60, 9, G minor
5, 367, 61, 10, D minor
6, 479, 62, 11, F major
7, 379, 63, 12, A minor
8, 488, 64, 13, G minor
9, 413, 65, 14, D minor
10, 370, 66, 15, D minor
11, 352, 67, 17, C minor
12, 489, 68, 18, G minor
13, 486, 69, 19, G major
14, 387, 70, 20, G major
15, 374, 71, 21, E minor
16, 397, 72, 22, B flat major
17, 384, 73, 23, F major
18, 416, 74, 24, D minor
19, 383, 75, 25, F minor
20, 375, 76, 26, E major
21, 363, 77, 27, D major
22, 360, 78, 28, C minor
23, 411, 79, 29, D major
24, 495, 80, 30, A major
25, 481, 81, 31, F sharp minor
26, 368, 82, 32, A major
27, 449, 83, 33, B minor
28, 373, 84, 34, E major
29, 461, 85, 36, D major
30, 499, 86, 199, G minor
31, 231, 19, 59, G minor
32, 423, 14, –, D minor
33, 424, 130, 58, D major
34, S7, 15, –, D minor
35, 386, 20, 35, G minor
36, 245, 91, 61, A minor
37, 406, 2, 62, C minor
38, 478, 97, 60, F major
39, 391, 53, 65, A major
40, 357, 119, –, C minor
41, –, 37, 198, D minor
42, S36, 120, –, B flat major
43, 40, 133, –, G minor
44, 432, 116, 175, F major
45, 265, 230, 93, D major
46, 25, 179, –, E major
47, 46, 115, –, B flat major
48, 157, 87, –, C minor
49, 301, 178, –, C major
50, 440, 144, 181, F minor
51, 20, 151, –, E flat major
52, 267, 41, –, D minor
53, 261, 161, 173, D major
54, 241, 147, 53, A minor
55, 335, 117, 161, G major
56, 356, 50, 57, C minor
57, S38, 108, –, B flat major
58, 158, 39, –, C minor
59, 71, 22, –, F major
60, 13, 29, –, G minor
61, 136, 16, –, A minor
62, 45, 49, –, A major
63, 84, 32, –, G major
64, 58, 33, –, D minor
65, 195, 142, –, A major
66, 496, 134, 98, B flat major
67, 32, 125, –, F sharp minor
68, 114, 7, –, E flat major
69, 382, 42, 115, F minor
70, 50, 21, –, B flat major
71, 81, 17, –, G major
72, 401, 1, –, C major
73, 217, 30, –, C minor
74, 94, 34, –, A major
75, 53, 35, –, G major
76, 185, 23, –, G minor
77, 168, 10, –, D minor
78, 75, 26, –, F major
79, 80, 204, –, G major
80, –, 28, –, G major
81, 271, 13, –, E minor
82, 30, 25, –, F major
83, S31, 31, –, A major
84, 10, 45, –, C minor
85, 166, 24, –, F major
86, 403, 122, –, C major
87, 33, 43, –, B minor
88, 36, 8, –, G minor
89, 211, 12, –, D minor
90, 106, 9, –, D minor
91, 176, 11, –, G major
92, 362, 44, –, D minor
93, 336, 38, –, G minor
94, –, 27, –, F major
95, 358, –, 83, C major
96, 465, 210, 79, D major
97, –, 5, –, G minor
98, 325, 219, –, E minor
99, 317, 135, –, C minor
100, 355, 232, 105, C major
101, 494, 156, 74, A major
102, 89, 88, –, G minor
103, 233, 233, –, G major
104, 442, 109, 117, G major
105, 204, 90, –, G major
106, 437, 197, 107, F major
107, 474, 98, 106, F major
108, 249, 92, 167, G minor
109, 138, 290, –, A minor
110, 469, 129, –, A minor
111, 130, 99, –, G minor
112, 298, 94, 63, B flat major
113, 345, 160, 52, A major
114, 344, 141, –, A major
115, 407, 100, 64, C minor
116, 452, 111, 76, C minor
117, 244, 181, 108, C major
118, 122, 266, –, D major
119, 415, 217, 68, D major
120, 215, 146, 84, D minor
121, 181, 93, –, G minor
122, 334, 118, –, D major
123, 111, 180, –, E flat major
124, 232, 110, 48, G major
125, 487, 152, 1, G major
126, 402, 128, 2, C minor
127, 186, 198, 3, A flat major
128, 296, 199, –, B flat minor
129, 460, 148, –, C minor
130, 190, 272, –, A flat major
131, 300, 154, 4, B flat minor
132, 457, 295, 77, C major
133, 282, 218, 90, C major
134, 221, 143, 51, E major
135, 224, 234, 78, E major
136, 377, 113, 109, E major
137, 315, 231, –, D major
138, 464, 95, –, D minor
139, 6, 126, –, C minor
140, 107, 127, –, D major
141, 422, 271, 118, D minor
142, –, 240, –, F sharp minor
143, –, 267, –, C major
144, –, 316, –, G major
145, 369, 105, –, D major
146, 349, 106, –, G major
147, 376, 48, 116, E minor
148, 64, 291, –, A minor
149, 93, 241, –, A minor
150, 117, 205, –, F major
151, 330, 238, –, F major
152, 179, 114, –, G major
153, 445, 235, –, G major
154, 96, 183, –, B flat major
155, 197, 208, –, B flat major
156, 101, 248, 104, C major
157, 405, 391, –, C major
158, 4, 123, –, C minor
159, 104, 418, 71, C major
160, 15, 131, –, D major
161, 417, 216, –, D major
162, 21, 162, –, E major
163, 63, 206, –, E major
164, 59, 274, –, D major
165, 52, 292, –, C major
166, 51, 190, –, C major
